0,150,145
0,164,69
0,4,90
0,35,169
1,23,213
2,99,1
3,229,176
0,170,14
0,150,182
1,33,254
2,252,132
3,35,82
4,102,166
5,129,234
6,138,70
7,133,54
8,157,27
9,237,205
10,107,172
11,242,128
12,105,108
13,232,253
14,132,190
15,33,232
16,29,212
17,55,139
18,135,198
19,197,58
20,31,176
21,83,237
22,238,5
23,23,170
24,168,158
25,43,228
26,104,110
27,59,175
28,14,143
29,207,252
30,217,155
31,243,145
32,4,89
33,196,182
34,179,38
35,19,22
36,38,189
37,54,161
38,104,31
39,17,208
40,63,82
41,12,186
42,177,89
43,228,143
44,190,116
45,216,209
46,196,203
47,18,202
48,19,121
49,179,124
50,106,237
51,201,252
52,161,45
53,188,224
54,69,148
55,250,126
56,177,161
57,40,54
58,78,93
59,249,170
60,51,4
61,184,3
62,237,119
63,36,229
64,22,24
65,217,115
66,26,193
67,187,80
68,192,181
69,25,238
70,103,36
71,244,159
72,93,52
73,205,186
74,91,33
75,171,143
76,67,206
77,205,205
78,201,67
79,2,203
80,221,4
81,63,218
82,46,198
83,77,51
84,36,127
85,108,150
86,11,196
87,24,190
88,207,181
89,240,213
90,196,243
91,218,51
92,229,235
93,63,33
94,63,132
95,14,223
96,188,211
97,145,252
98,119,92
99,214,90
100,210,209
101,157,254
102,12,36
103,218,223
104,229,166
105,254,28
106,92,110
107,70,96
108,93,7
109,94,181
110,104,15
111,232,60
112,130,153
113,32,185
114,25,206
115,44,80
116,8,16
117,90,88
118,54,45
119,105,203
120,36,80
121,68,209
122,63,45
123,108,230
124,30,227
125,10,206
126,115,15
127,228,57
128,126,168
129,118,166
130,172,224
131,246,37
132,3,55
133,182,178
134,203,186
135,218,92
136,43,63
137,154,175
138,48,130
139,143,239
140,8,107
141,117,249
142,119,238
143,45,170
144,114,59
145,122,16
146,105,189
147,136,163
148,178,127
149,151,89
150,106,117
151,161,196
152,205,146
153,135,64
154,204,175
155,121,23
156,27,57
157,7,167
158,24,42
159,251,102
160,172,90
161,36,157
162,241,119
163,163,25
164,202,52
165,30,244
166,51,219
167,253,81
168,8,77
169,140,61
170,213,34
171,152,73
172,203,28
173,8,244
174,148,237
175,225,204
176,141,83
177,254,55
178,183,161
179,66,138
180,38,110
181,234,113
182,72,206
183,37,68
184,118,222
185,223,152
186,158,2
187,103,210
188,40,215
189,210,178
190,203,81
191,107,217
192,112,130
193,85,143
194,58,41
195,105,156
196,86,163
197,27,58
198,143,103
199,124,51
200,65,151
201,150,35
202,180,118
203,232,179
204,50,106
205,244,124
206,78,86
207,84,148
208,59,17
209,154,219
210,57,23
211,224,166
212,164,241
213,15,129
214,226,189
215,185,19
216,46,245
217,73,182
218,65,227
219,62,86
220,189,255
221,84,254
222,229,80
223,230,125
224,0,184
225,248,204
226,176,31
227,94,101
228,126,159
229,41,209
230,213,94
231,26,159
232,39,16
233,22,173
234,211,13
235,9,212
236,66,35
237,106,250
238,163,20
239,14,106
240,19,159
241,5,58
242,250,173
243,165,171
244,218,146
245,113,133
246,28,11
247,208,126
248,255,25
249,36,94
250,17,238
251,15,151
252,116,131
253,242,105
254,35,219
255,56,240
256,59,129
